date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-18,moderna,fully_vaccinated,0,0,366930,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-19,moderna,fully_vaccinated,0,0,371646,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-20,moderna,fully_vaccinated,0,0,380644,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-21,moderna,fully_vaccinated,0,0,391449,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-22,moderna,fully_vaccinated,0,0,406701,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-23,moderna,fully_vaccinated,0,0,419028,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-24,moderna,fully_vaccinated,0,0,423681,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-25,moderna,fully_vaccinated,0,0,424339,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-26,moderna,fully_vaccinated,0,0,437840,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-27,moderna,fully_vaccinated,0,0,455543,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-28,moderna,fully_vaccinated,0,0,470258,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-29,moderna,fully_vaccinated,0,0,485348,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-30,moderna,fully_vaccinated,0,0,493554,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-01,moderna,fully_vaccinated,0,0,494860,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-02,moderna,fully_vaccinated,0,0,495254,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-03,moderna,fully_vaccinated,0,0,500246,0,NA,0.14,0.03,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-04,moderna,fully_vaccinated,0,0,512082,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-05,moderna,fully_vaccinated,1,1,526277,0.19,NA,0.14,0.03,100,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-06,moderna,fully_vaccinated,0,1,544466,0,NA,0.14,0.03,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-07,moderna,fully_vaccinated,0,1,562544,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-08,moderna,fully_vaccinated,0,1,569277,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-09,moderna,fully_vaccinated,0,1,571302,0,NA,0,0,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-10,moderna,fully_vaccinated,0,1,586464,0,NA,0,0,0,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-11,moderna,fully_vaccinated,0,1,606022,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-12,moderna,fully_vaccinated,0,1,626672,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
