date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202110,female,fully_vaccinated,3,12,227571,1.32,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,female,partially_vaccinated,6,25,178630,3.36,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,female,not_vaccinated,70,349,3981187,1.76,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,female,unknown,99,700,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,male,fully_vaccinated,2,14,174032,1.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,male,partially_vaccinated,2,19,136633,1.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,male,not_vaccinated,65,422,4011302,1.62,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,male,unknown,110,821,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,unknown,fully_vaccinated,0,0,44,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,unknown,partially_vaccinated,0,0,44,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202110,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,female,fully_vaccinated,5,17,270779,1.85,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,female,partially_vaccinated,1,26,177336,0.56,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,female,not_vaccinated,69,418,3939273,1.75,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,female,unknown,110,810,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,male,fully_vaccinated,5,19,203579,2.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,male,partially_vaccinated,12,31,142287,8.43,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,male,not_vaccinated,89,511,3976101,2.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202111,male,unknown,121,942,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
