date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202136,AG,med_prof,161,indication,694072,26311,3.8,0.027,2.7,7.000000000000001,0.02,3.79,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202137,AG,med_prof,192,indication,694072,26503,3.8,0.026,2.6,6.9,0.03,3.82,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202138,AG,med_prof,259,indication,694072,26762,3.9,0.029,2.9000000000000004,6.800000000000001,0.04,3.86,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202139,AG,med_prof,269,indication,694072,27031,3.9,0.028,2.8000000000000003,6.7,0.04,3.89,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202140,AG,med_prof,278,indication,694072,27309,3.9,0.028,2.8000000000000003,6.6000000000000005,0.04,3.93,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202141,AG,med_prof,233,indication,694072,27542,4,0.022,2.1999999999999997,6.5,0.03,3.97,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202142,AG,med_prof,168,indication,694072,27710,4,0.021,2.1,6.4,0.02,3.99,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202143,AG,med_prof,117,indication,694072,27827,4,0.02,2,6.3,0.02,4.01,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202144,AG,med_prof,93,indication,694072,27920,4,0.025,2.5,6.3,0.01,4.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202145,AG,med_prof,67,indication,694072,27987,4,0.023,2.3,6.3,0.01,4.03,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202146,AG,med_prof,73,indication,694072,28060,4,0.028,2.8000000000000003,6.3,0.01,4.04,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202147,AG,med_prof,57,indication,694072,28117,4.1,0.023,2.3,6.2,0.01,4.05,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202148,AG,med_prof,65,indication,694072,28182,4.1,0.026,2.6,6.2,0.01,4.06,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202149,AG,med_prof,81,indication,694072,28263,4.1,0.026,2.6,6.2,0.01,4.07,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202052,AG,contact_vuln,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202053,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202101,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202102,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202103,AG,contact_vuln,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202104,AG,contact_vuln,4,indication,694072,4,0,0.004,0.4,0.3,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202105,AG,contact_vuln,20,indication,694072,24,0,0.008,0.8,0.6,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202106,AG,contact_vuln,52,indication,694072,76,0,0.02,2,1.2,0.01,0.01,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202107,AG,contact_vuln,80,indication,694072,156,0,0.015,1.5,1.3,0.01,0.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202108,AG,contact_vuln,87,indication,694072,243,0,0.013,1.3,1.3,0.01,0.04,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202109,AG,contact_vuln,148,indication,694072,391,0.1,0.025,2.5,1.6,0.02,0.06,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202110,AG,contact_vuln,96,indication,694072,487,0.1,0.02,2,1.7000000000000002,0.01,0.07,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202111,AG,contact_vuln,80,indication,694072,567,0.1,0.015,1.5,1.7000000000000002,0.01,0.08,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202112,AG,contact_vuln,93,indication,694072,660,0.1,0.011,1.0999999999999999,1.6,0.01,0.1,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202113,AG,contact_vuln,81,indication,694072,741,0.1,0.013,1.3,1.5,0.01,0.11,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202114,AG,contact_vuln,207,indication,694072,948,0.1,0.023,2.3,1.6,0.03,0.14,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
